_id,ref
601ac114be37ce2ead437550,Cogs
5332f5fbe4b03c9a25efd0ba,Cogs
601ac142be37ce2ead437559,Cogs
5332fa12e4b03c9a25efd1e7,Cogs
559c2234e4b06aca36af13c6,Cogs
5a734034e4b0d58f376be874,Cogs
59ba6f1ce4b092b29c167346,Cogs
5f4bf556be37ce0b44915549,Cogs
5332f5f2e4b03c9a25efd0aa,Cpgs
5d5d4fd16d5f3b23d1bc7905,Cogs
5332f709e4b03c9a25efd0f1,Cogs
5d9b4f591dda2c6225a284aa,Cogs
5f358338be37ce443bf9d557,Cogs
5fb28549be37ce522e165cb4,Cogs
5332f5f6e4b03c9a25efd0b4,Cogs
55b62995e4b0d8e685c14213,Cogs
53e10d6368abd3c7065097cc,Cogs
5332f5ebe4b03c9a25efd0a8,Cpgs
5e9f12f5be37ce3e45b6a77e,Cogs
5f493e72be37ce64d0ae36c2,Cogs
5f4936dcbe37ce52f8314fd8,Cogs
5fd2a0aebe37ce49eb72c0ed,Cogs
5f494c5d04db711dd8fe87e2,Cogs
5332f5f3e4b03c9a25efd0ae,Cogs
5f35a0babe37ce6853cff1fd,Cogs
5fd29590be37ce38bbbefb25,Cogs
5fd3acb5be37ce0d9386bb3e,Cogs
550b2565e4b001d5e9e4146f,Cogs
5fa1c567be37ce402c4618ef,Cogs
5f16f535be37ce2b30061e24,Cogs
5332f6ede4b03c9a25efd0e6,Cpgs
5f3d6f44be37ce4ddbb1bb3a,Cogs
5c76d20595144c5375687b4e,Cogs
5f3ff222be37ce1c81aa1e0c,Cogs
5f3e9195be37ce5a0e01b95f,Cogs
5fb6b608be37ce522e165cb9,Cogs
5fb2852cbe37ce522e165cae,Cogs
5fa98944be37ce239d1070ff,Cogs
5f493682be37ce52f8314fcb,Cogs
57ace90fe4b057c992a316ab,Cpgs
5332f5f3e4b03c9a25efd0ac,Cpgs
5fc54c0abe37ce1911dbb3b1,Cogs
5f9770bfbe37ce03d08a2d83,Cogs
5f513e9ebe37ce21f1287bff,Cogs
5332f7a7e4b03c9a25efd134,Cpgs
5f3e9172be37ce5a0e01b952,Cogs
5f4936ddbe37ce52f8314fda,Cogs
5f43faabbe37ce3ef3fd3714,Cogs
5fa98944be37ce239d1070fd,Cogs
55a41b4be4b0d0a65b3692ee,Cpgs
5e28b81cee7f2d697e835bcd,Cogs
5fcda494be37ce688e08b0cb,Cogs
5eebc5412455c97a877ef382,Cogs
5c45f8b087ff3552f950f026,Cogs
5f772951be37ce6b592e90d1,Cogs
5fa1c568be37ce402c4618f5,Cogs
5f7ba644be37ce23081c5289,Cogs
5f504acabe37ce0b793c9417,Cogs
5332f7ffe4b03c9a25efd16b,Cpgs
5ffe3a87be37ce7aab2d4fda,Cogs
5ffe3a85be37ce7aab2d4fd4,Cogs
5fff3a7abe37ce2bb793010d,Cogs
5ffe35eabe37ce5e01754c45,Cogs
5ffe347ebe37ce5e01754c3d,Cogs
5f772951be37ce6b592e90cf,Cogs
5f504ac2be37ce0b793c9411,Cogs
5fd2a0bfbe37ce49eb72c0ef,Cogs
5f99f71bbe37ce13da9eade6,Cogs
5ffe3681be37ce5e01754c54,Cogs
5ffe3480be37ce5e01754c43,Cogs
5ffe35f9be37ce5e01754c4b,Cogs
5ff768e3be37ce1e961f329f,Cogs
5ff768d4be37ce1e961f3299,Cogs
5ff77857be37ce58ce500839,Cogs
5fd7f2b3be37ce7339755868,Cogs
5fd7f2b8be37ce733975586e,Cogs
581ce8d5e4b058c71f74c442,Cpgs
5f628235be37ce78e6e2efb0,Cogs
5f3ff200be37ce1c81aa1e0a,Cogs
5f493665be37ce52f8314fc9,Cogs
5c4f20b01b4181298aacffc1,Cogs
5fb6d381be37ce522e165cbd,Cogs
5fcda47cbe37ce688e08b0c2,Cogs
5459429be4b0bfcb1e864082,Cogs
5f513ea0be37ce21f1287c01,Cogs
59b96571e4b0bf7c7980588b,Cogs
5f58fa84be37ce21f1287c0f,Cogs
5ff78071be37ce6a424ca0e7,Cogs
5ff789c5be37ce786ba0f6a2,Cogs
5ff78070be37ce6a424ca0e5,Cogs
5ff77859be37ce58ce50083f,Cogs
5fdce9e9be37ce5fa8ba59d6,Cogs
5f441280be37ce5dbe9b7c7d,Cogs
5f4802bdbe37ce0c8303373c,Cogs
5f208daebe37ce7958c59520,Cogs
5f036ccc2455c947fde9362f,Cogs
5f7760f0be37ce1d26d7b7a2,Cogs
5f38578fbe37ce5178517ad3,Cogs
5f493dabbe37ce64d0ae36ba,Cogs
5f5bc4f1be37ce17125ac0e8,Cogs
5f77274bbe37ce6b592e90b9,Cogs
5f4802d2be37ce0c83033742,Cogs
60074277be37ce360be639fe,Cogs
5f403231be37ce5f78d9ed14,Cogs
5f7ba932be37ce2f290fb251,Cogs
5f4a7a5bbe37ce2d95e65c9f,Cogs
5f35834dbe37ce443bf9d564,Cogs
5c7470c895144c124ecd5c09,Cogs
5fda3724be37ce09e351596f,Cogs
5e7cf838f221c312e698a628,Cogs
5ff73cffbe37ce1e961f325c,Cogs
5ff73cf9be37ce1e961f3256,Cogs
5ff74123be37ce1e961f3265,Cogs
5ff74500be37ce1e961f3276,Cogs
5ff75cdebe37ce1e961f328a,Cogs
6000a0c6be37ce2bb793011c,Cogs
6000b8c3be37ce321363c6bf,Cogs
6000a0f3be37ce2bb7930129,Cogs
5f19e054be37ce33f74a166e,Cogs
5f872b7fbe37ce66db5dd975,Cogs
5f10c05cbe37ce238c6cabaf,Cogs
5f628214be37ce78e6e2efaa,Cogs
5fcff319be37ce6d53dfc690,Cogs
5e5ea9cc9c50da1291a6d074,Cogs
5ffe3381be37ce5e01754c34,Cogs
5ffe2e38be37ce5e01754c21,Cogs
5ffe336ebe37ce5e01754c2e,Cogs
5fdce8dabe37ce5fa8ba59be,Cogs
5fdce9cabe37ce5fa8ba59cd,Cogs
5fdce8edbe37ce5fa8ba59cb,Cogs
5332f734e4b03c9a25efd104,Cpgs
5332fa58e4b03c9a25efd215,Cpgs
5f38576ebe37ce5178517aca,Cogs
5c76dd1095144c5375687b51,Cogs
5d66b9dcee7f2d201c7281cd,Cogs
5f19e062be37ce33f74a1674,Cogs
5fcff304be37ce6d53dfc683,Cogs
5f4cff1aa475f1050a66b566,Cogs
5f3d6f43be37ce4ddbb1bb38,Cogs
5f4a64e7be37ce17d23b3178,Cogs
55a41a91e4b0d0a65b3692ec,Cpgs
5f16f512be37ce2b30061e1d,Cogs
537b7ec2892471241348d709,Cpgs
5f494cf904db711dd8fe87ef,Cogs
5f7760ffbe37ce1d26d7b7a8,Cogs
5f4a7a60be37ce2d95e65cac,Cogs
5fd29591be37ce38bbbefb2b,Cogs
5fc54c17be37ce1911dbb3b7,Cogs
540f215de4b09fb9af4b49f1,Cpgs
5fd3acb9be37ce0d9386bb4b,Cogs
53501d2ab9237fd7718f9e1a,Cpgs
5f208db0be37ce7958c59526,Cogs
5f441281be37ce5dbe9b7c83,Cogs
5f4cffbaa475f1050a66b573,Cogs
5f493e72be37ce64d0ae36c0,Cogs
55a58719e4b0d0a65b3693cc,Cpgs
5fd3ae1fbe37ce0d9386bb54,Cogs
5ff74126be37ce1e961f326e,Cogs
5ff744ffbe37ce1e961f3274,Cogs
5ffe3686be37ce5e01754c5d,Cogs
5f4a650bbe37ce17d23b317e,Cogs
5f43faadbe37ce3ef3fd371a,Cogs
53501d2ab9237fd7718f9e18,Cpgs
5ff75cdebe37ce1e961f328c,Cogs
5f35a0bcbe37ce6853cff20a,Cogs
5fd3ae20be37ce0d9386bb5a,Cogs
5fff3aa0be37ce2bb7930116,Cogs
60019b82be37ce4f17e558d1,Cogs
5f493d85be37ce64d0ae36b1,Cogs
5ff3842abe37ce2c56dacbab,Cogs
5ff3842bbe37ce2c56dacbad,Cogs
6000b8c4be37ce321363c6c5,Cogs
60074260be37ce360be639f5,Cogs
60019b83be37ce4f17e558d7,Cogs
5ff8b5febe37ce4a13986613,Cogs
5ffe2df8be37ce5e01754c1f,Cogs
5ff8b5fbbe37ce4a1398660d,Cogs
5ffe2ce0be37ce5e01754c16,Cogs
5ffe2ca0be37ce5e01754c09,Cogs
5ff789d5be37ce786ba0f6a8,Cogs
5332f712e4b03c9a25efd0f9,Cpgs
5f7ba678be37ce23081c5296,Cogs
5c6d516795144c607914426e,Cogs
5f99f720be37ce13da9eadec,Cogs
5f872bd3be37ce66db5dd982,Cogs
5ea07defbe37ce3e45b6a780,Cogs
5f403232be37ce5f78d9ed1a,Cogs
5f5bc4f1be37ce17125ac0e6,Cogs
5c6c2ee995144c6db8fe1976,Cogs
56462469e4b0c05761111936,Cogs
5f9770c0be37ce03d08a2d89,Cogs
5fda3711be37ce09e351596d,Cogs
5f7ba914be37ce2f290fb24f,Cogs
5f4bf53dbe37ce0b44915540,Cogs
5f77274dbe37ce6b592e90bf,Cogs
6026d757be37ce6369301467,Cogs
